CLOSE BUY,AMAT,1987-04-07,18.24,0.56,1987-05-01,23.36,8.14
CLOSE BUY,AMAT,1987-05-13,24.64,1.02,1987-06-12,22.4,-2.00
CLOSE SELL,AMAT,1987-07-08,20.8,0.88,1987-07-13,18.88,1.18
CLOSE BUY,AMAT,1987-07-31,23.36,0.85,1987-08-17,30.4,7.30
CLOSE BUY,AMAT,1987-08-19,30.4,1.02,1987-09-17,28.16,-2.00
CLOSE SELL,AMAT,1987-09-17,28.16,0.75,1987-10-19,23.68,4.96
CLOSE BUY,AMAT,1987-12-29,19.52,1.06,1988-01-27,17.6,-2.00
CLOSE BUY,AMAT,1988-02-10,19.52,0.85,1988-02-23,26.56,7.30
CLOSE BUY,AMAT,1988-03-01,26.88,1.20,1988-03-29,26.24,-1.53
CLOSE BUY,AMAT,1988-04-06,27.52,1.01,1988-05-04,28.16,-0.37
CLOSE SELL,AMAT,1988-05-27,26.56,0.75,1988-06-01,29.76,-2.00
CLOSE BUY,AMAT,1988-06-01,29.76,0.88,1988-06-27,34.24,4.09
CLOSE BUY,AMAT,1988-07-05,34.88,0.96,1988-08-02,30.72,-2.00
CLOSE SELL,AMAT,1988-08-05,28.8,0.91,1988-08-16,27.52,0.40
CLOSE SELL,AMAT,1988-08-31,28.16,0.93,1988-09-12,30.08,-2.00
CLOSE BUY,AMAT,1988-09-12,30.08,1.20,1988-09-28,26.24,-2.00
CLOSE SELL,AMAT,1988-09-28,26.24,1.12,1988-10-11,22.4,2.43
CLOSE SELL,AMAT,1988-10-20,24.32,1.22,1988-10-31,22.4,0.58
CLOSE SELL,AMAT,1988-11-02,22.08,1.26,1988-11-10,22.72,-1.51
CLOSE BUY,AMAT,1988-11-10,22.72,1.10,1988-11-18,18.88,-2.00
CLOSE SELL,AMAT,1988-11-18,18.88,1.10,1988-11-23,17.6,0.16
CLOSE SELL,AMAT,1988-12-09,19.84,0.94,1988-12-16,21.44,-2.00
CLOSE BUY,AMAT,1988-12-16,21.44,0.96,1989-01-09,22.72,0.33
CLOSE BUY,AMAT,1989-01-11,23.04,0.83,1989-02-06,25.28,1.69
CLOSE BUY,AMAT,1989-02-13,25.28,0.90,1989-03-14,24.96,-1.36
CLOSE SELL,AMAT,1989-03-23,22.72,0.80,1989-04-12,24.64,-2.00
CLOSE BUY,AMAT,1989-04-12,24.64,0.70,1989-05-08,28.48,4.45
CLOSE BUY,AMAT,1989-05-11,29.12,0.99,1989-06-09,28.8,-1.32
CLOSE SELL,AMAT,1989-06-21,27.2,0.94,1989-07-20,24.0,2.39
CLOSE BUY,AMAT,1989-09-21,26.56,0.94,1989-10-12,27.52,0.02
CLOSE SELL,AMAT,1989-10-20,24.96,1.12,1989-11-10,24.64,-0.71
CLOSE BUY,AMAT,1990-05-07,29.76,0.88,1990-05-25,36.16,6.27
CLOSE BUY,AMAT,1990-06-11,35.52,1.52,1990-07-13,39.04,1.32
CLOSE SELL,AMAT,1990-07-26,34.56,1.15,1990-08-09,31.04,2.06
CLOSE SELL,AMAT,1990-09-18,24.32,1.62,1990-09-27,24.96,-1.40
CLOSE SELL,AMAT,1990-11-15,18.24,1.09,1990-12-14,18.56,-1.29
CLOSE BUY,AMAT,1990-12-20,20.48,1.01,1991-01-24,25.28,3.76
CLOSE BUY,AMAT,1991-02-06,28.16,1.22,1991-03-07,32.64,2.68
CLOSE BUY,AMAT,1991-04-16,34.88,1.36,1991-05-14,31.36,-2.00
CLOSE SELL,AMAT,1991-06-25,28.48,1.46,1991-07-24,29.76,-1.88
CLOSE BUY,AMAT,1991-09-09,31.36,1.52,1991-10-07,24.32,-2.00
