CLOSE BUY,CL,2005-12-14,56.25,0.66,2006-01-12,54.25,-2.00
CLOSE SELL,CL,2006-01-12,54.25,0.72,2006-02-14,54.25,-1.00
CLOSE BUY,CL,2006-04-26,58.95,0.85,2006-05-18,60.1,0.36
CLOSE SELL,CL,2006-05-18,60.1,1.03,2006-06-19,60.36,-1.25
CLOSE BUY,CL,2006-06-29,60.15,0.90,2006-07-21,62.07,1.14
CLOSE BUY,CL,2006-08-07,59.0,1.00,2006-09-06,61.33,1.32
CLOSE BUY,CL,2006-10-18,60.42,0.74,2006-11-02,63.56,3.25
CLOSE BUY,CL,2006-11-06,64.06,0.81,2006-12-06,65.86,1.22
CLOSE SELL,CL,2006-12-18,65.19,0.79,2007-01-12,66.84,-2.00
CLOSE BUY,CL,2007-01-12,66.84,0.69,2007-02-02,67.74,0.30
CLOSE BUY,CL,2007-02-13,67.56,0.77,2007-02-27,67.34,-1.29
CLOSE SELL,CL,2007-03-01,66.93,0.82,2007-03-20,65.81,0.36
CLOSE BUY,CL,2007-06-25,65.41,0.79,2007-07-18,67.75,1.98
CLOSE BUY,CL,2007-07-26,68.79,1.00,2007-08-24,67.46,-2.00
CLOSE BUY,CL,2007-08-16,65.44,1.73,2007-09-14,68.03,0.50
CLOSE BUY,CL,2007-09-24,69.67,1.14,2007-10-22,72.79,1.74
CLOSE BUY,CL,2007-10-22,72.79,1.03,2007-11-19,77.49,3.54
CLOSE BUY,CL,2008-01-04,78.78,1.17,2008-01-11,79.41,-0.46
CLOSE SELL,CL,2008-01-11,79.41,1.34,2008-02-05,74.87,2.39
