CLOSE SELL,CL,2009-07-30,71.83,1.45,2009-08-31,72.7,-1.60
CLOSE SELL,CL,2009-09-01,71.78,1.02,2009-09-29,76.55,-2.00
CLOSE BUY,CL,2009-09-29,76.55,1.17,2009-10-28,77.68,-0.03
CLOSE BUY,CL,2009-11-04,78.33,1.46,2009-12-03,85.65,4.02
CLOSE SELL,CL,2009-12-07,82.98,1.71,2010-01-07,83.0,-1.01
CLOSE SELL,CL,2010-01-07,83.0,1.12,2010-02-05,79.26,2.33
CLOSE BUY,CL,2010-02-17,81.2,1.53,2010-03-18,84.77,1.33
CLOSE SELL,CL,2010-04-08,84.56,0.95,2010-05-06,81.77,1.95
CLOSE SELL,CL,2010-05-28,78.09,1.61,2010-06-08,78.76,-1.42
CLOSE BUY,CL,2010-06-08,78.76,1.39,2010-07-07,80.98,0.60
CLOSE SELL,CL,2010-08-02,78.25,1.49,2010-08-27,74.25,1.69
CLOSE SELL,CL,2010-09-22,78.45,1.00,2010-10-08,74.9,2.54
CLOSE SELL,CL,2010-12-20,80.44,0.88,2011-01-20,78.99,0.64
CLOSE SELL,CL,2011-01-26,80.0,0.84,2011-02-04,76.24,3.46
CLOSE BUY,CL,2011-02-07,76.28,0.93,2011-03-08,78.19,1.06
CLOSE BUY,CL,2011-03-11,79.18,0.95,2011-04-12,82.54,2.54
CLOSE BUY,CL,2011-04-26,80.55,0.87,2011-05-24,85.6,4.78
CLOSE BUY,CL,2011-05-26,85.32,1.00,2011-06-22,87.53,1.20
CLOSE BUY,CL,2011-06-28,85.82,1.20,2011-07-22,87.62,0.50
CLOSE SELL,CL,2011-07-27,85.49,1.11,2011-08-10,80.18,3.80
CLOSE BUY,CL,2011-08-29,89.77,2.24,2011-09-27,91.07,-0.42
CLOSE BUY,CL,2011-10-05,89.5,2.23,2011-11-02,87.94,-1.70
CLOSE BUY,CL,2012-03-08,93.94,0.91,2012-04-05,98.16,3.62
CLOSE BUY,CL,2012-04-11,96.54,0.94,2012-05-11,99.31,1.96
CLOSE SELL,CL,2012-05-31,98.3,1.12,2012-06-06,98.33,-1.03
CLOSE BUY,CL,2012-06-06,98.33,1.20,2012-07-09,104.26,3.93
CLOSE BUY,CL,2012-07-26,106.38,1.44,2012-08-28,106.35,-1.02
CLOSE SELL,CL,2012-09-10,103.7,1.11,2012-10-08,108.49,-2.00
CLOSE BUY,CL,2012-09-25,106.65,1.40,2012-10-19,107.74,-0.22
CLOSE SELL,CL,2012-10-19,107.74,1.28,2012-10-31,104.96,1.17
CLOSE BUY,CL,2012-11-15,103.77,1.63,2012-12-04,107.58,1.34
CLOSE SELL,CL,2012-12-13,106.16,1.17,2012-12-31,104.54,0.39
CLOSE BUY,CL,2013-01-23,108.81,1.16,2013-02-21,113.09,2.69
CLOSE SELL,CL,2013-03-07,115.41,1.45,2013-03-19,112.54,0.98
CLOSE BUY,CL,2013-03-20,114.6,1.32,2013-04-03,117.31,1.05
CLOSE BUY,CL,2013-04-08,117.72,1.34,2013-05-07,120.33,0.94
CLOSE SELL,CL,2013-06-05,57.9,0.94,2013-06-25,56.22,0.79
CLOSE BUY,CL,2013-08-23,59.03,0.66,2013-09-24,59.87,0.28
CLOSE BUY,CL,2013-10-28,64.76,0.99,2013-11-25,65.95,0.20
CLOSE BUY,CL,2013-12-06,65.66,0.73,2014-01-07,64.2,-2.00
CLOSE SELL,CL,2014-01-23,63.44,0.70,2014-02-05,60.42,3.31
CLOSE BUY,CL,2014-02-27,62.12,0.98,2014-03-20,63.59,0.50
CLOSE BUY,CL,2014-03-20,63.59,0.73,2014-04-21,66.84,3.48
CLOSE SELL,CL,2014-05-28,66.12,0.59,2014-05-29,66.92,-2.00
CLOSE BUY,CL,2014-05-29,66.92,0.60,2014-06-27,68.43,1.52
CLOSE BUY,CL,2014-07-08,69.5,0.67,2014-08-05,63.77,-2.00
CLOSE SELL,CL,2014-07-17,68.6,0.63,2014-08-01,63.95,6.38
CLOSE BUY,CL,2014-08-06,64.8,0.81,2014-09-04,64.31,-1.60
CLOSE SELL,CL,2014-09-08,63.64,0.61,2014-10-07,64.9,-2.00
CLOSE SELL,CL,2014-10-13,64.19,0.69,2014-10-17,63.73,-0.34
CLOSE BUY,CL,2014-10-20,64.54,0.87,2014-11-21,68.34,3.36
CLOSE BUY,CL,2014-12-17,68.66,0.90,2014-12-30,70.04,0.54
CLOSE SELL,CL,2015-01-05,68.53,0.92,2015-01-30,67.52,0.10
CLOSE BUY,CL,2015-03-05,71.46,0.71,2015-04-10,69.61,-2.00
CLOSE SELL,CL,2015-05-26,67.15,0.77,2015-06-09,66.03,0.45
CLOSE SELL,CL,2015-06-18,67.17,0.82,2015-07-01,66.16,0.23
